1,"5 Watt Road, Hillington, Glasgow G52 4RY",Leca Dental Laboreatory,01418836111,
2,"Hill of Kinnaird Farm, Larbert, Falkirk, FK2 8RW",Fourth Valley Dental Laboratory,01324228464,
3,"1 Hogg Street, Airdrie, ML6 9JH",Pearl White Dental Laboratory,01236767707,
